Gene,Cell,Group
PLP1,Neural,
ELAVL4,Neural,
ASCL1,Neural,
MPZ,Neural,
CHL1,Neural,
DDX4,GCs,
DAZL,GCs,
FIGLA,oocyte,
GDF9,oocyte,
NOBOX,oocyte,
ZP3,oocyte,
ARG2,secondary oocyte,
UPK3B,OSE,
KLK11,OSE,
LRRN4,OSE,
KLF10,theca Primordial arrested,
IRF1,theca Primordial arrested,
MAFF,theca Primordial arrested,
KLF2,theca Primordial arrested,
INHBB,Inhibins,
INHA,Inhibins,
INHBA,Inhibins,
DDIT4,Stress,
GADD45B,Stress,
SERTAD1,Stress,
DDIT3,Stress,
CDKN1A,Stress,
BTG2,Stress,
NR4A2,Stress,
ATF3,Stress,
SOCS3,Stress,
HSPA1A,Stress,
NPHS2,Glomerular mesonephros,
PTPRO,Glomerular mesonephros,
CLIC5,Glomerular mesonephros,
MKI67,cycling,
CDK1,cycling,
TOP2A,cycling,
MALAT1,lncRNA,
XIST,lncRNA,
NEAT1,lncRNA,
HTRA1,Granulosa cumulus - antral follicle,
IGFBP2,Granulosa cumulus - antral follicle,
IHH,Granulosa cumulus - antral follicle,
INHBB,Granulosa cumulus - antral follicle,
FSHR,Granulosa FSH responsive,
AKIRIN1,Granulosa mural - antral follicle,
CITED2,Granulosa mural - antral follicle,
LIPH,Granulosa mural - antral follicle,
EGR4,Granulosa mural - antral follicle,
KRT18,Granulosa mural - antral follicle,
AMH,Granulosa early - primary follicle,
FST,Granulosa early - primary follicle,
GSTA1,Granulosa early - primary follicle,
HSD17B1,Granulosa early - primary follicle,
INHBB,Granulosa early - primary follicle INHBB+,
LRP8,Granulosa early - primary follicle INHBB+,
VCAN,Granulosa early - primary follicle INHBB+,
HES4,Granulosa squamous (primordial follicle),
LHX2,Granulosa squamous (primordial follicle),
NOTCH3,Granulosa squamous (primordial follicle),
NR1H4,Granulosa squamous (primordial follicle),
RDH10,Granulosa squamous (primordial follicle),
CDH1,Granulosa squamous (primordial follicle),
FSHR,granulosa FSH responsive,
AMH,granulosa Primary a,
HSD17B1,granulosa Primary a,
FST,granulosa Primary a,
LRP8,granulosa Primary b,
INHBB,granulosa Primary b,
VCAN,granulosa Primary b,
GSTA1,granulosa Primary b,
ZFPM2,granulosa preAntral,
BMPR2,granulosa preAntral,
BMPR1A,granulosa preAntral,
BMPR1B,granulosa preAntral,
ATM,granulosa preAntral,
UBR2,granulosa preAntral,
WIPF3,granulosa,
GATA4,granulosa,
WNT6,granulosa early,
FOXL2,granulosa early,
INHA,granulosa early,
HES4,granulosa Primordial fetal,
LHX2,granulosa Primordial fetal,
NOTCH3,granulosa Primordial fetal,
HEYL,granulosa Primordial fetal,
RDH10,granulosa Primordial fetal,
NR1H4,granulosa Primordial fetal,
ARX,Ovarian somatic,
GATA4,Ovarian somatic,
COLEC11,Stroma theca precursor,
LAMB1,Stroma theca precursor,
GLI1,Theca externa,
THBD,Theca externa,
CLDN1,Theca externa,
APOD,Theca externa,
PIEZO2,Theca externa,
KCNT1,Theca interna,
CALB2,Theca interna,
INHA,Theca interna,
GSTA1,Theca interna,
CYP11A1,Theca interna,
MAP3K15,Theca interna,
